text	category
 hoo mammokka police vesham aaha anthas	Positive 
 Oru rekshayum illa...kidilam kannu nananjupoyi	Positive 
 Ikka     waiting.........	Positive 
 Raju Ettante Oro Shorttum Ijathi ppwli	Positive 
 Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	Positive 
 Waiting to see mammukaas undaa 🤣	not-malayalam 
 Last aa chadi adi.... Uff.        Frm an ettan fan	Positive 
 1 day achu 5 million views kooda varla	unknown_state 
 heavy mass	Positive 
 I a m a katta mammookka fan	unknown_state 
 Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	Mixed_feelings 
 Nte ponno oru raksha Illa Ennaaa Trailer	Positive 
 Mammookka fans like adi. Love u ikka	Positive 
 Dislike adikan keri like adichath njaan mathramaano?	unknown_state 
 Enada Oru English comment kuda kanom	unknown_state 
 Oh mass o mass laletta katta waiting....Bgm	Positive 
 Ith powlichu vaariyitte pooku....	Positive 
 7.3k dislike adichavanmaarod onne parayanollu......  OMKV	Negative 
 Malayali friends lalettan padam epdi irukku	not-malayalam 
 June 16 Keralakara ilakki marikkum ikka	Positive 
 Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun	unknown_state 
 Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Mixed_feelings 
 Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	Positive 
 vaada a otta vili athu mathi .athu maathram mathi	Positive 
 Mammooka fan - kannadiga from Dubai	not-malayalam 
 Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like	unknown_state 
 #mamangam uff ijjathi trailer oru rakshem illa poli	Positive 
 Nalla polippan school life kanam katta waiting for you Mammukka	Positive 
 Trailer kande oru pidium illatha aralum	unknown_state 
 Feeling sad am studying in punjab ivde release aakuvo	Negative 
 Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??	unknown_state 
 Tamilnadu thala fans sarpakka movie hit panna valthukal	not-malayalam 
 Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree	unknown_state 
 Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	Mixed_feelings 
 Thirunavayile arenkilum undo  Trailer like cheyan marakanda	unknown_state 
 INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	Positive 
 movie kandathinu shesham onum kudi trailer kanan vanaver like	unknown_state 
 Mammoka fans and laletan fans Katta waiting	unknown_state 
 Eee eid ikka ang edutthu ennu paranjekk	Positive 
 Ahaa hahaha ha.... Nte ponnikkka mutheeee	Positive 
 Fan show set...arokke fan showkk pokunnu und	unknown_state 
 Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	Positive 
 Ithin dislike addikunavar lokka tholvikallayirkkum	Positive 
 Visit on link Vov yar so sad made me crying so sad omng  very sad must watch Osmmmosmmmmmmmmmmmmmmmmmmmmm	not-malayalam 
 Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum	unknown_state 
 FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	Positive 
 Feel good movie 2019 le best movie aavum ithu urappu	Positive 
 1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	Negative 
 Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan	unknown_state 
 2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	Positive 
 Eante ponnooo romanjam vannu poeonnum parayanilla	Positive 
 Eth oru onnonnara padam aavum enn urappullavar like adi	Positive 
 Surajettan kunjunni mash ayi abhinayichal powlikku.m	Positive 
 Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	Positive 
 Raaza..u Do	unknown_state 
