text	category
 Trailer late ah parthavanga like podunga	Positive 
 Move pathutu vanthu trailer pakurvnga yaru	Positive 
 Puthupetai dhanush  ah yarellam pathinga	Positive 
 Dhanush oda character ,puthu sa erukay , mass ta	Positive 
 vera level ippa pesungada mokka nu thalaivaaaaaa	Positive 
 Thala mass . U1 bgm.     Vera level	Positive 
 ivara pathta death vadi madiri irukku	Negative 
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	Positive 
 Aiyoo thala mass pannita thala	Positive 
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	Mixed_feelings 
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	Negative 
 Remake of Malayalam Mohanlal movie Devadoodhan	Negative 
 Tharamaana sirappaana sambavam inimeal ta paaka pora....	Positive 
 Viswasam trailer paathutu Inka vanthavanga like panuga	unknown_state 
 Maran  kattu kattitamnue verithanam thalivaaàa	Positive 
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	Positive 
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	Positive 
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	Mixed_feelings 
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam	Positive 
 Enakku iru mugan trailer gnabagam than varuthu	Positive 
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	Positive 
 Sakthimaan fans like Sivakarthikeyen fans comment	Mixed_feelings 
 rajini and akshay fans hit like	Mixed_feelings 
 1 hour 1 million likes	Positive 
 Raww vana padama iruku  all the best	Positive 
 Thalaiva.. full Support from kerala Mohanlal Fans	unknown_state 
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	Negative 
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	Positive 
 Rajini ah vida akshay mass ah irukane	Negative 
 Thala koda compare panna yarukum thakuthi kidaiyathu mind it	Positive 
 Marana mass marana style marna gethu mass trailer rajinified	Positive 
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay	unknown_state 
 Diwali annante aniyan ullaltha  Step back bigil	Mixed_feelings 
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	Negative 
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	Negative 
 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	Negative 
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	Negative 
 Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	Positive 
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	Positive 
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	Positive 
 epdi like pottavan Eallarum seathupogada	Mixed_feelings 
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	Positive 
 Supper dhanush Anna mass waiting asuran	Positive 
 Vera lvl thalaiva u r great	Positive 
 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga	Negative 
 Sala kuch smjh nhi aaya pr mja aaya	not-Tamil 
 Ellam avan sayal movie mathiriya irukku🤔	Mixed_feelings 
 Boss you looking so handsome ND young kekaa	Positive 
 Pattaya kelapitey Siva!!!  Awesome!!!	Mixed_feelings 
 Dahaaaaaaa chitii come back I am waiting get ready to 2.0	Mixed_feelings 
 Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala	Mixed_feelings 
 Looks thrilling, thala get up super as lawyer , dai pandey neeya da	Positive 
 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga	Negative 
 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR	Positive 
 1:43  Thala da    By thalapathy fan	Positive 
 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga	Positive 
 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga	unknown_state 
 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super	Positive 
 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....	Mixed_feelings 
 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	Positive 
 Semmma style... rajini sir is back...	Positive 
 My Dear Thala ahhhhhhhhhhhhhh semma GETHU	Positive 
 Idduke ₹500 va tarlam... kolla mass	Mixed_feelings 
 Movie savadi vera level poo..thalaivar thalaivar thaa..mass	Positive 
 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.	Positive 
 92k views 132k likes  Fraud	Mixed_feelings 
 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????	Positive 
 Dai ranjit nee idha parthu film eduka kathuko	Positive 
 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura	Positive 
 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum	Positive 
 Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....	Positive 
 1:36 *thaa enna look-u daa saami  That bgm lit	Positive 
 Guyzz 1m likes vara varaikum vitraadheenga...	Positive 
 Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya	unknown_state 
 Velraj sir thalaivana masss a kamchirukaru vera level u	Positive 
 U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum	Mixed_feelings 
 Iam vijay fan kerala and iam waiting super star's petta	Positive 
 Oh my god .. it's rajini for you	Mixed_feelings 
 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu	Positive 
 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!	Positive 
 Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's	Mixed_feelings 
 Iam sk fan aanaa trailer semma	Positive 
 Wow padam tharu mara iruka poguthu  This pongal petta diwali	Positive 
 Sema mass marana mass tha i love rajini	Positive 
 800k likes varavareku nanu thungamatte nenaikiravage like podunge	Positive 
 Damn..im a proud. Chiyaan vikram fan..	Positive 
 Enna panna porom sweet sapda porom....	Positive 
 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?	Negative 
 Vaa thalaiva via diwali mass ur movie bikil  out	Positive 
 Veralevel performer Dhanush sir	Positive 
 No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	Positive 
 Super akshay sir i love u sir	Positive 
 Looks like he will SET SCREEN ON FIRE	Positive 
 Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla	unknown_state 
 It's pink with ajith Kumar ka chutiyapa	Positive 
 Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.	Positive 
 Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum	Positive 
 Trailer vera level athana Da....aamai kunjugala	Positive 
 Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.	Mixed_feelings 
 Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram	Positive 
 1:20 to 2:29 marana massssss	Positive 
 Thalapathy 64 villan ku Oru like podu	unknown_state 
 No.1 trending....yellarum idha thana ketutu irundhinga	Positive 
 Dhanush fans hit like here.....	Positive 
 E,,adicha copy da,,,ithu ellam avan seyal movie	Negative 
 Like so much Thala from AP PawanKalyan Anna fans	Positive 
 Yellaam super, but nawazudin voice mattum nalla illa.	Mixed_feelings 
 Wow. I love you Thalaivaaaaaa.	Positive 
 Thala..... Kola waiting eppo yaa release panna poringa	Positive 
 Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...	Positive 
 Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?	Mixed_feelings 
 Comment box pakka vantha like podunga	Positive 
 Thalaivar varuvaru sure aa adippaaru	Mixed_feelings 
 Who else are here after Sarkar movie?	Mixed_feelings 
 Dialogues ah illama mass scenes la pesirukalaam	Positive 
 Pongal namalukku super collection ma !	Positive 
 Ennada pittalatama irruku views 51k but likes 99k va	Mixed_feelings 
 Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!	Positive 
 I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....	unknown_state 
 Yuvan bgm kola mass thalaiva marana waiting for #valimai	Positive 
 Thalaivar ku ennum vaisae agala Sema	Positive 
 Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi	Positive 
 Ippa enna panna poram sweet sapada porom ,,,super awesome	Positive 
 Thala  U1  Yuvan Shankar Raja  Mass....	Positive 
 Shakthiman fans kill the like button	Positive 
 1:53 Ant-Man ah pottu Hope pottu polakra adhe smack	Mixed_feelings 
 Screen Presence la ungala adichukka vera evanum illa Thala	Mixed_feelings 
 Vera level movie & vasool NKP	Positive 
 Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS	Mixed_feelings 
 Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣	Positive 
 Senseless movie ..  just video game..	Mixed_feelings 
 Thala fans saarbaaga motion poster vendum adhe	Positive 
 Rajinikanth sir is my favorite Hero says ARR	Negative 
 Kadaram Kondan vs Saaho.... I'm waiting....	Negative 
 0.35 & 0.55 sec   wowwwww	Positive 
 Last dialogue suit for all fans	Positive 
 Thala fans hit like me....	Positive 
 Edho sadhi nadakudhu pa inum trending la varala	Negative 
 Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga	Positive 
 Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga	Mixed_feelings 
 Dai bahubali 1 & 2.    Kelambu kelambu.	Mixed_feelings 
 PINK Bollywood  But Like Ajit kumar	Positive 
 Comedy ya erukku ithukku billa pandi ok	Negative 
 Vs anna semma.......🤗epavum pola neega vera level.........	Positive 
 Kk chiyan vikram in kadaram kondan best wishes	Positive 
 1:34 Enna paarva da idhu goosebumps guaranteed	Positive 
 Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗	Positive 
 Thala look sema mass nu soldravanga mattum oru like podunga	Positive 
 Vanthathu vanthuteenga thala fans ellarum like potutu ponga	Positive 
 enada pandey news ah vittutu cinema la nadikuran	Positive 
 Ena da bgm ithu yuvannnnnnnnnn rocksssssss	Positive 
 1st like Vijay Fanss Hit Likes	Positive 
 Ex police cop become a prisoner.	Mixed_feelings 
 Trailer late ah parthu miss pannavanga.... Ippo happy ah	Positive 
 Nazawuddin Siddiqui in pettai  tharamana mudivu	Positive 
 Oru pakkam bigil. Bigil anil kunjugalin alaparaikal	Negative 
 Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style	Positive 
 Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....	Positive 
 Vijay sethupathi fans hit like here	Positive 
 Aiyo enaku ipave thalaya padathula pakanumnu eruku	Positive 
 THALAAAA  & U1 again ROCK	Positive 
 Petta telugu la illea ? missing in tollywood	Positive 
 Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki	unknown_state 
 Telugu  Thala fan's hit likes	Positive 
 Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay	Negative 
 akshay kumar as shiva kumar	Positive 
 Siripu vantha oru like podunga	Mixed_feelings 
 Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku	Negative 
 🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans	Positive 
 Dhanush fans sarbaga padam vetri adiya valthukal	Positive 
 Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom	Positive 
 Pazhaya Rajinikanth ah paatha feeling pa....	Positive 
 Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar	Mixed_feelings 
 neraya neraya neraya neraya neraya what a  performance voice Vera level.	Positive 
 Ithan diwali fight..semme kartik..story value va hero value r nu..	Positive 
 Dhanush fans oru like potutu ponga	Positive 
 Pink !! But like for Ajith	Positive 
 Beginning of satyayuga end of kaliyuga	Positive 
 Dhanush sir ku Ella get up um set aagudhu	Positive 
 Inimal Sun Networkla Petta promo poda start panniduvaanga	Positive 
 neraya neraya neraya neraya neraya what a powerful voice.	Positive 
 thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....	Positive 
 Krish movie mask mathiri erukku pa....	Positive 
 Chiyaan vikram sir vera 11	Positive 
 Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔	Positive 
 thala thanta thalaiya minja evanta	Positive 
 2.0 late a vanthalu latest  a vanthurukku	Positive 
 Thatha ku jodiya paatis Padam nalla irrukum pola	Mixed_feelings 
 1999 :padappa-vali now 2019 petta -viswasam	Mixed_feelings 
 Bigil satham ketta ella kaithiyum amaithithan	Negative 
 Confirm 1M likes varumnu soldravange like podunge machanzz	Positive 
 Happy new year  Thalaivar padam mass kata pothu	Positive 
 Thala Vera Level Maas  U1 Bgm Ultimate	Positive 
 Yenda thala enga thala ya vada dislike panni irukkenga	Mixed_feelings 
 Dai youtube trending la podu da	Negative 
 sam c.s vera level ya un bgm	Positive 
 Thala vera level n yuvan bgm semmeee...	Positive 
 Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................	Positive 
 Are u a virgin girls ??? Kani kazhiyama irukingala ???	Mixed_feelings 
 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa	Positive 
 All the best Karthi and Lokesh kanakaraaj	Negative 
 Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....	Positive 
 Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom	Mixed_feelings 
 Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala	Positive 
 Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen	Negative 
 Elam girls um trailer ah patha maari movie ya kandipaa parungaa....	Positive 
 3ena da 300 spartan s BGm la varuthu	Mixed_feelings 
 I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie	Mixed_feelings 
 Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam	Mixed_feelings 
 Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom	Positive 
 Intha padatha pathe aakanum Thalaivaa aaaaaa.........	Positive 
 Kris’s movie pola irukkunu yaarukkavadu feel aahircha	Positive 
 Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer	Negative 
 Ada dei nama sambatha da dei	Positive 
 Nvp voda recorda break pannanum solravanga..like pannunga	Mixed_feelings 
 Movie pathutan semma mass a irukku.... music la vera leval	Positive 
 Marana mass thala I am waiting🦁🦁🦁🦁🦁🦁🦁	Positive 
 Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! #StopWomenAbuse	Positive 
 Vayase aagala pa.. ena effort chanceless.. 🤙	Positive 
 Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded	Positive 
 Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....	Positive 
 Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon	Positive 
 Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz	Positive 
 Matha actor la Vera level na Niii top level Thalaivaaa	Positive 
 Enna panna porom sweet sapda porom petta paraak	Positive 
 Dislike Pota Ealarum .... Lusu p___ 🤐	Negative 
 Vena padama release pannathinga pakka mudiyala	Positive 
 Thala bloods ellaarum oru like podunga	Positive 
 Real Rajnikant or dupe ?? Amazingly young !!!	Mixed_feelings 
 DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI	Positive 
 aiyo #thala marana mass #thala love you so much #thala	Positive 
 Thla da . U1 bgm	Positive 
 Intha padampothu thalaya asaikka kooda mudiyathu	Positive 
 NKP 30 million views varum solravaga thala fans hit like button 2million like	Positive 
 subscribe here enjoy ...gari maya ra sath dinu hola nogen	not-Tamil 
 Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga	Mixed_feelings 
 Super super super super star rajini sri good.....	Positive 
 Mind blowing  Ipo paarunga therikka vitudalam	Negative 
 Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....	Mixed_feelings 
 Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala	Positive 
 king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala	Positive 
 Marana masss thalaiva Hollywood deractor la vaya polaka poranugga	Mixed_feelings 
 Thala mass! But court room perusa irundhurkalam.	Positive 
 You kena tunggu lebih lama lagi... untuk tahu saya...	not-Tamil 
 Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level	Negative 
 Pakkaaa message pola...Thalaivaaa we are waiting	Positive 
 Thalapathy kku Evlo Massss irukka pootho #Thalapathy64  #Lokeshkanagaraj	unknown_state 
 Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry	Positive 
 Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu	Positive 
 Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..	Positive 
 Last dailog புரிஞ்சா inga like podunga	Positive 
 Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it	Negative 
 1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam	Negative 
 Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya	Negative 
 You tube crash ho gaya kitna time ho gaya hai bhut sahi	not-Tamil 
 Vera Level #SK Bro... Keep Going Huge..	Positive 
 Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa	Positive 
 last dialague semma.... rasikanuku advice pannitaru thala super thala	Positive 
 Super pa... Thalapadhy rasigar saarba vaalthukal	Positive 
 Thala Ena Thala ketta mass ah irukiyae	Positive 
 Thambi naanga 19 hourslaya 11M neenga yaaru da komali	Mixed_feelings 
 Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version	Positive 
 Waiting 1m likes and 15m views	Positive 
 Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...	Positive 
 Kaithi thane daw. Intha Diwali ku	unknown_state 
 Ada aamaigala 1m like kooda varlaya aamai Ajith	Mixed_feelings 
 Realy trailer marana massa iruku iam waiting petta	Negative 
 You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting	Positive 
 Simion sir enga irrukinga.  Sekiram vanga.	Positive 
 Wow 10  millóns views	Positive 
 Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing	Positive 
 எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN	Positive 
 Dislike pannravan ratham kakkai saavan 🤣	Positive 
 தல i am waiting for nerkoonda paarvai	Positive 
