text	category
 Trailer late ah parthavanga like podunga	Positive 
 Move pathutu vanthu trailer pakurvnga yaru	Positive 
 Puthupetai dhanush  ah yarellam pathinga	Positive 
 Dhanush oda character ,puthu sa erukay , mass ta	Positive 
 vera level ippa pesungada mokka nu thalaivaaaaaa	Positive 
 Thala mass . U1 bgm.     Vera level	Positive 
 ivara pathta death vadi madiri irukku	Negative 
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	Positive 
 Aiyoo thala mass pannita thala	Positive 
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	Mixed_feelings 
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	Negative 
 Remake of Malayalam Mohanlal movie Devadoodhan	Negative 
 Tharamaana sirappaana sambavam inimeal ta paaka pora....	Positive 
 Viswasam trailer paathutu Inka vanthavanga like panuga	unknown_state 
 Maran  kattu kattitamnue verithanam thalivaaàa	Positive 
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	Positive 
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	Positive 
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	Mixed_feelings 
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam	Positive 
 Enakku iru mugan trailer gnabagam than varuthu	Positive 
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	Positive 
 Sakthimaan fans like Sivakarthikeyen fans comment	Mixed_feelings 
 rajini and akshay fans hit like	Mixed_feelings 
 1 hour 1 million likes	Positive 
 Raww vana padama iruku  all the best	Positive 
 Thalaiva.. full Support from kerala Mohanlal Fans	unknown_state 
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	Negative 
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	Positive 
 Rajini ah vida akshay mass ah irukane	Negative 
 Thala koda compare panna yarukum thakuthi kidaiyathu mind it	Positive 
 Marana mass marana style marna gethu mass trailer rajinified	Positive 
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay	unknown_state 
 Diwali annante aniyan ullaltha  Step back bigil	Mixed_feelings 
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	Negative 
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	Negative 
 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	Negative 
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	Negative 
 Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	Positive 
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	Positive 
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	Positive 
 epdi like pottavan Eallarum seathupogada	Mixed_feelings 
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	Positive 
 Supper dhanush Anna mass waiting asuran	Positive 
 Vera lvl thalaiva u r great	Positive 
 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga	Negative 
 Sala kuch smjh nhi aaya pr mja aaya	not-Tamil 
 Ellam avan sayal movie mathiriya irukku🤔	Mixed_feelings 
 Boss you looking so handsome ND young kekaa	Positive 
 Pattaya kelapitey Siva!!!  Awesome!!!	Mixed_feelings 
 Dahaaaaaaa chitii come back I am waiting get ready to 2.0	Mixed_feelings 
 Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala	Mixed_feelings 
 Looks thrilling, thala get up super as lawyer , dai pandey neeya da	Positive 
 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga	Negative 
 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR	Positive 
 1:43  Thala da    By thalapathy fan	Positive 
 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga	Positive 
 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga	unknown_state 
 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super	Positive 
 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....	Mixed_feelings 
 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	Positive 
 Semmma style... rajini sir is back...	Positive 
 My Dear Thala ahhhhhhhhhhhhhh semma GETHU	Positive 
 Idduke ₹500 va tarlam... kolla mass	Mixed_feelings 
 Movie savadi vera level poo..thalaivar thalaivar thaa..mass	Positive 
 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.	Positive 
 92k views 132k likes  Fraud	Mixed_feelings 
 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????	Positive 
 Dai ranjit nee idha parthu film eduka kathuko	Positive 
 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura	Positive 
 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum	Positive 
 Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....	Positive 
 1:36 *thaa enna look-u daa saami  That bgm lit	Positive 
 Guyzz 1m likes vara varaikum vitraadheenga...	Positive 
 Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya	unknown_state 
 Velraj sir thalaivana masss a kamchirukaru vera level u	Positive 
 U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum	Mixed_feelings 
 Iam vijay fan kerala and iam waiting super star's petta	Positive 
 Oh my god .. it's rajini for you	Mixed_feelings 
 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu	Positive 
 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!	Positive 
 Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's	Mixed_feelings 
 Iam sk fan aanaa trailer semma	Positive 
 Wow padam tharu mara iruka poguthu  This pongal petta diwali	Positive 
 Sema mass marana mass tha i love rajini	Positive 
 800k likes varavareku nanu thungamatte nenaikiravage like podunge	Positive 
 Damn..im a proud. Chiyaan vikram fan..	Positive 
 Enna panna porom sweet sapda porom....	Positive 
 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?	Negative 
 Vaa thalaiva via diwali mass ur movie bikil  out	Positive 
 Veralevel performer Dhanush sir	Positive 
 No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	Positive 
 Super akshay sir i love u sir	Positive 
 Looks like he will SET SCREEN ON FIRE	Positive 
 Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla	unknown_state 
 It's pink with ajith Kumar ka chutiyapa	Positive 
 Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.	Positive 
 Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum	Positive 
 Trailer vera level athana Da....aamai kunjugala	Positive 
 Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.	Mixed_feelings 
